75127,13787,74247
25510,21781,75789
50596,18215,38913
69908,4182,42931
89091,10695,95635
95930,61645,57298
54722,93967,84973
13863,35446,27635
14930,41063,62233
25751,98435,58837
84072,94558,96347
25429,67665,8591
81429,98831,50050
24353,76684,52159
92927,33670,9017
34999,66239,90467
19660,24417,88439
25109,29551,43899
61605,68018,78173
47329,52785,14847
35166,41160,61982
83083,60264,26063
58527,75053,44566
54973,58354,84400
91720,55180,19621
28584,58358,30386
75721,51182,48330
75373,8260,33782
38045,71958,79849
56783,99616,98749
7586,35454,15905
5396,97126,23688
53080,34645,70224
77917,88655,37548
93402,45470,97371
12991,41343,97231
56883,21774,64370
46940,12566,86010
1191,30892,40189
33713,72611,63194
16219,78288,98524
79429,69379,55948
31122,981,93360
52854,84322,72035
16565,92234,48404
60199,77096,63904
26298,4266,88764
65408,37819,19874
68922,70434,39537
74816,72952,99218
45055,22428,40236
8383,26906,65886
22898,67304,90135
91334,47750,99539
15238,62372,65317
82582,23645,10844
53835,17713,3612
99614,82965,61810
7818,76693,56715
44268,93448,96197
10666,10789,74611
96190,18223,66252
464,9910,52332
77492,48977,25990
81731,19325,96200
86870,89590,54021
8444,9909,3028
39979,4417,69632
25988,55730,51972
80007,77250,5904
43142,31195,89004
91065,17899,33021
18185,33896,22971
26381,21015,11395
14554,51016,31093
13607,90637,22844
86930,62893,65200
57971,10154,6617
54987,39086,27544
14496,5462,28183
85304,50129,88007
62206,43173,44434
35096,99757,75592
51325,81161,60330
40181,48566,78327
7597,89445,11394
23992,13755,97857
12332,39001,84860
18391,92736,5065
23996,91750,46621
41727,71358,32566
4966,61834,63021
90272,34329,23030
94479,93603,57989
49087,12478,60316
48926,73059,59988
33772,64648,44843
90006,83316,3543
36925,39829,51382
11121,74983,40774
78026,83523,10805
38974,32247,45988
24170,55227,45089
40392,97913,55115
9646,54931,80541
13198,33043,70086
94206,61948,87224
95614,36064,5220
57521,75651,21969
5978,41391,45965
23478,49235,95854
35316,69475,79005
82120,97274,45188
1541,32776,33343
4303,83781,5910
16900,73908,74091
64912,95418,50680
73173,3193,19993
64775,35687,42720
45093,66266,16870
54701,28151,75170
29633,23039,36836
74470,71113,94182
18896,62458,1718
68678,59061,82906
18352,66044,62660
36849,4756,53875
62562,34879,65051
78023,45135,72663
8113,24091,9449
92939,71505,87758
77572,85619,1437
48680,28151,29431
43586,73106,17992
44679,13777,92630
30635,83673,6819
50851,13861,58110
51078,58821,63716
81763,36616,65127
79484,80676,86463
64432,50379,5596
37861,48960,81686
81159,87705,52893
53283,35315,69436
35073,44945,21241
93901,96354,54328
87595,4230,70253
55016,97296,95644
62248,18921,44455
58705,66713,8540
20775,58644,5735
30125,67512,62946
47093,36103,79618
23049,62028,69120
84431,81116,34531
19477,1926,94682
22593,8388,52020
17071,97481,95382
22767,65135,7360
43570,23124,20704
31111,40350,77503
92338,12203,91419
43021,26844,78256
18482,25785,29554
90489,33167,15185
97975,15224,84792
